index,station_id,num_bikes_available,num_docks_available,Station,Unnamed: 0,Cluster Label,EM Label,name,longitude,latitude
16,272,10,1,31119,113,2-0,2,14th & Belmont St NW,-77.031887,38.921074
17,394,18,1,31285,208,2-0,2,22nd & P ST NW,-77.048728,38.909394
6,59,19,0,31214,137,2-0,2,17th & Corcoran St NW,-77.0387,38.9121
9,94,2,21,31505,263,2-0,2,Eckington Pl & Q St NE,-77.00495,38.910971999999994
4,43,15,0,31111,105,2-0,2,10th & U St NW,-77.0259,38.9172
20,484,18,1,31126,120,2-0,2,11th & Girard St NW,-77.027112,38.925636
19,399,19,0,31286,209,2-0,0,11th & O St NW,-77.02714,38.908429999999996
5,47,13,0,31109,103,2-0,2,7th & T St NW,-77.0222,38.9155
12,145,14,1,31245,168,2-0,2,7th & R St NW / Shaw Library,-77.022155,38.912719
1,25,22,1,31203,127,2-0,2,14th & Rhode Island Ave NW,-77.0323,38.9086
0,24,14,1,31202,126,2-0,2,14th & R St NW,-77.032523,38.912681
15,249,15,0,31118,112,2-0,0,3rd & Elm St NW,-77.01597,38.917621999999994
18,397,0,22,31123,117,2-0,2,14th & Girard St NW,-77.032375,38.925284000000005
11,98,2,8,31618,299,2-0,2,4th & East Capitol St NE,-77.000349,38.889955
7,73,1,10,31501,259,2-0,0,12th & Newton St NE,-76.991016,38.933668
13,179,14,1,31803,337,2-0,0,Good Hope Rd & 14th St SE,-76.985238,38.866611
3,32,2,12,31601,282,2-0,2,19th & East Capitol St SE,-76.9769,38.8896
14,233,10,1,31630,311,2-0,2,15th & East Capitol St NE,-76.983326,38.889908
10,96,17,0,31616,297,2-0,2,3rd & H St NE,-77.001949,38.900412
8,88,17,0,31609,290,2-0,2,Maine Ave & 7th St SW,-77.02305436134337,38.87869359939696
2,28,1,13,31400,244,2-0,2,Georgia & New Hampshire Ave NW,-77.024649,38.936043
